season,division,team,url
13, 1, Barbarians FC,      http://domain.com
13, 1, BFC Tokyo,          http://domain.com
13, 1, El Diego FC,        http://domain.com
13, 1, FC International,   http://domain.com
13, 1, Hibernian FC,       http://domain.com
13, 1, Imperio FA,         http://domain.com
13, 1, Kanto Celts FC,     http://domain.com
13, 1, Oakwood Geckoes,    http://domain.com
13, 1, Panthers FC,        http://domain.com
13, 1, Swiss Kickers,      http://domain.com
13, 2, BFC Vagabonds,      http://domain.com
13, 2, British Embassy FC, http://domain.com
13, 2, Dutch FC,           http://domain.com
13, 2, Fussa FC,           http://domain.com
13, 2, King George FC,     http://domain.com
13, 2, Lions FC,           http://domain.com
13, 2, Pumas FC,           http://domain.com
13, 2, Sala FC,            http://domain.com
13, 2, Syu Syu Aoyama FC,  http://domain.com
13, 2, Zion FC,            http://domain.com
13, 3, Albion Oldboys,     http://domain.com
13, 3, Guts FC,            http://domain.com
13, 3, Jetro FC,           http://domain.com
13, 3, Musketeers FC,      http://domain.com
13, 3, Nepal United FC,    http://domain.com
13, 3, Oakwood Clash,      http://domain.com
13, 3, Real Celts FC,      http://domain.com
13, 3, Saitama Jets,       http://domain.com
13, 3, Shane FC,           http://domain.com
13, 3, YCAC 1868,          http://domain.com